title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Chicago,movie,"Comedy, Crime, Musical",2002.0,tt0299658,7.2,247273.0,JP
The Holiday,movie,"Comedy, Romance",2006.0,tt0457939,7.0,331759.0,JP
What's Eating Gilbert Grape,movie,Drama,1993.0,tt0108550,7.7,258623.0,JP
Bring It On,movie,"Comedy, Romance, Sport",2000.0,tt0204946,6.1,108531.0,JP
Night at the Museum,movie,"Adventure, Comedy, Family",2006.0,tt0477347,6.5,386517.0,JP
Hitman,movie,"Action, Crime, Thriller",2007.0,tt0465494,6.2,181185.0,US
Speed,movie,"Action, Adventure, Thriller",1994.0,tt0111257,7.3,401178.0,JP
Speed 2: Cruise Control,movie,"Action, Adventure, Crime",1997.0,tt0120179,4.0,87344.0,JP
A Time to Kill,movie,"Crime, Drama, Thriller",1996.0,tt0117913,7.5,186614.0,JP
Copycat,movie,"Drama, Mystery, Thriller",1995.0,tt0112722,6.6,68165.0,JP
The Cider House Rules,movie,"Drama, Romance",1999.0,tt0124315,7.4,106207.0,JP
Jesus Camp,movie,Documentary,2006.0,tt0486358,7.4,28999.0,US
The Piano Teacher,movie,"Drama, Music",2001.0,tt0254686,7.5,74238.0,JP
Transformers,movie,"Action, Adventure, Sci-Fi",2007.0,tt0418279,7.1,687089.0,JP
Sunflower,movie,"Drama, War",1970.0,tt0065782,7.3,4696.0,JP
The Beach,movie,"Adventure, Drama, Romance",2000.0,tt0163978,6.6,258061.0,US
The Others,movie,"Horror, Mystery, Thriller",2001.0,tt0230600,7.6,403070.0,JP
The Bow,movie,"Drama, Romance",2005.0,tt0456470,7.1,11942.0,JP
Bandidas,movie,"Action, Comedy, Crime",2006.0,tt0416496,5.7,37807.0,US
Death Proof,movie,"Action, Drama, Thriller",2007.0,tt1028528,7.0,320005.0,JP
Planet Terror,movie,"Action, Comedy, Horror",2007.0,tt1077258,7.0,226484.0,JP
Sister Act,movie,"Comedy, Family, Music",1992.0,tt0105417,6.5,111473.0,JP
The Mourning Forest,movie,Drama,2007.0,tt1016205,6.7,2945.0,JP
The Wedding Planner,movie,"Comedy, Romance",2001.0,tt0209475,5.3,88479.0,US
Hostage,movie,"Action, Crime, Drama",2005.0,tt0340163,6.5,114233.0,JP
Training Day,movie,"Crime, Drama, Thriller",2001.0,tt0139654,7.8,485662.0,JP
The Lake House,movie,"Drama, Fantasy, Romance",2006.0,tt0410297,6.8,159844.0,JP
The Getaway,movie,"Action, Adventure, Crime",1994.0,tt0109890,5.8,20189.0,US
Gappa the Triphibian Monster,movie,"Action, Adventure, Comedy",1967.0,tt0061550,4.4,1789.0,JP
L.A. Confidential,movie,"Crime, Drama, Mystery",1997.0,tt0119488,8.2,631568.0,JP
The Perfect Storm,movie,"Action, Adventure, Drama",2000.0,tt0177971,6.5,181556.0,JP
Cop Land,movie,"Crime, Drama, Thriller",1997.0,tt0118887,7.0,109177.0,JP
Big,movie,"Comedy, Drama, Fantasy",1988.0,tt0094737,7.3,245964.0,US
Beowulf,movie,"Action, Adventure, Animation",2007.0,tt0442933,6.3,176046.0,JP
Executive Decision,movie,"Action, Adventure, Thriller",1996.0,tt0116253,6.5,62596.0,JP
Taxi,movie,"Action, Comedy, Crime",1998.0,tt0152930,7.0,91294.0,JP
Taxi 4,movie,"Action, Comedy, Crime",2007.0,tt0804540,5.6,31366.0,JP
10 Items or Less,movie,"Comedy, Drama",2006.0,tt0499603,6.5,16491.0,JP
The Young Girls of Rochefort,movie,"Comedy, Drama, Musical",1967.0,tt0062873,7.7,12502.0,JP
Joint Security Area,movie,"Action, Drama, Thriller",2000.0,tt0260991,7.7,35357.0,JP
Eragon,movie,"Action, Adventure, Family",2006.0,tt0449010,5.1,131729.0,US
The Princess Bride,movie,"Adventure, Comedy, Family",1987.0,tt0093779,8.0,459435.0,US
The Bourne Identity,movie,"Action, Mystery, Thriller",2002.0,tt0258463,7.8,587097.0,JP
The Bourne Supremacy,movie,"Action, Mystery, Thriller",2004.0,tt0372183,7.7,494615.0,JP
The Bourne Ultimatum,movie,"Action, Mystery, Thriller",2007.0,tt0440963,8.0,666003.0,JP
The Specialist,movie,"Action, Drama, Thriller",1994.0,tt0111255,5.6,70888.0,JP
The Blair Witch Project,movie,"Horror, Mystery",1999.0,tt0185937,6.5,296391.0,JP
Sleepy Hollow,movie,"Fantasy, Horror, Mystery",1999.0,tt0162661,7.3,393884.0,JP
Ringu,movie,"Horror, Mystery",1998.0,tt0178868,7.2,80230.0,JP
Signs,movie,"Drama, Mystery, Sci-Fi",2002.0,tt0286106,6.8,396068.0,US
The Abyss,movie,"Adventure, Drama, Mystery",1989.0,tt0096754,7.5,198259.0,US
Addams Family Values,movie,"Comedy, Fantasy",1993.0,tt0106220,6.8,114730.0,JP
The Addams Family,movie,"Comedy, Fantasy",1991.0,tt0101272,6.9,187908.0,JP
Roar,movie,"Adventure, Comedy, Thriller",1981.0,tt0083001,6.1,4801.0,JP
One on Top of the Other,movie,"Horror, Mystery, Thriller",1969.0,tt0065148,6.6,2780.0,JP
Doctor Dolittle,movie,"Comedy, Family, Fantasy",1998.0,tt0118998,5.4,103769.0,US
The Searchers,movie,"Adventure, Drama, Western",1956.0,tt0049730,7.8,98434.0,JP
Battle Royale,movie,"Action, Adventure, Drama",2000.0,tt0266308,7.5,197719.0,JP
Battle Royale II,movie,"Action, Adventure, Drama",2003.0,tt0338763,4.6,21697.0,JP
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005.0,tt0433383,7.4,102177.0,JP
Under Siege 2: Dark Territory,movie,"Action, Adventure, Thriller",1995.0,tt0114781,5.6,51064.0,JP
Bogus,movie,"Comedy, Family, Fantasy",1996.0,tt0115725,5.4,7147.0,US
I Still Know What You Did Last Summer,movie,"Horror, Mystery, Thriller",1998.0,tt0130018,4.8,80628.0,US
Black Sheep,movie,"Comedy, Horror, Sci-Fi",2006.0,tt0779982,5.8,42503.0,JP
Flags of Our Fathers,movie,"Action, Adventure, Drama",2006.0,tt0418689,7.1,130838.0,JP
Beetlejuice,movie,"Comedy, Fantasy",1988.0,tt0094721,7.5,391752.0,JP
That Man from Rio,movie,"Action, Adventure, Comedy",1964.0,tt0058203,7.0,6488.0,JP
Women on the Verge of a Nervous Breakdown,movie,"Comedy, Drama",1988.0,tt0095675,7.5,47707.0,JP
Scream,movie,"Horror, Mystery",1996.0,tt0117571,7.4,407326.0,JP
The Kingdom,movie,"Action, Drama, Thriller",2007.0,tt0431197,7.0,133762.0,JP
Bordertown,movie,"Crime, Mystery, Thriller",2007.0,tt0445935,6.0,11566.0,JP
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992.0,tt0104545,6.4,15459.0,JP
The Machinist,movie,"Drama, Thriller",2004.0,tt0361862,7.6,423261.0,JP
The Story of O,movie,Drama,1975.0,tt0073115,5.3,7100.0,JP
The Guardian,movie,"Action, Adventure, Drama",2006.0,tt0406816,6.9,99819.0,US
The Sensuous Nurse,movie,Comedy,1975.0,tt0074682,4.8,862.0,JP
Gone Baby Gone,movie,"Crime, Drama, Mystery",2007.0,tt0452623,7.6,298513.0,JP
Obsession,movie,"Drama, Mystery, Thriller",1976.0,tt0074991,6.7,12367.0,JP
The Jackal,movie,"Action, Crime, Drama",1997.0,tt0119395,6.4,126695.0,JP
The Curious Case of Benjamin Button,movie,"Drama, Fantasy, Romance",2008.0,tt0421715,7.8,710103.0,JP
10 Things I Hate About You,movie,"Comedy, Drama, Romance",1999.0,tt0147800,7.3,403819.0,US
3:10 to Yuma,movie,"Action, Crime, Drama",2007.0,tt0381849,7.6,338208.0,JP
The Polar Express,movie,"Adventure, Animation, Comedy",2004.0,tt0338348,6.6,248057.0,US
Teorema,movie,"Drama, Mystery",1968.0,tt0063678,7.0,15711.0,JP
Fred Claus,movie,"Comedy, Family, Fantasy",2007.0,tt0486583,5.7,48345.0,US
Lisa and the Devil,movie,"Horror, Mystery",1973.0,tt0068863,6.2,5583.0,JP
Baron Blood,movie,Horror,1972.0,tt0069048,5.9,4421.0,JP
A Bay of Blood,movie,"Horror, Mystery, Thriller",1971.0,tt0067656,6.5,13341.0,JP
Le Samouraï,movie,"Crime, Drama, Thriller",1967.0,tt0062229,8.0,60653.0,JP
Donkey Skin,movie,"Comedy, Fantasy, Musical",1970.0,tt0066207,7.0,6701.0,JP
National Lampoon's Christmas Vacation,movie,Comedy,1989.0,tt0097958,7.5,224613.0,US
Sky High,movie,"Action, Adventure, Drama",2002.0,tt0398563,6.1,1517.0,JP
Papillon,movie,"Biography, Crime, Drama",1973.0,tt0070511,8.0,140611.0,JP
The Umbrellas of Cherbourg,movie,"Drama, Musical, Romance",1964.0,tt0058450,7.8,32293.0,JP
The Family Man,movie,"Comedy, Drama, Fantasy",2000.0,tt0218967,6.8,122146.0,JP
Six Days Seven Nights,movie,"Action, Adventure, Comedy",1998.0,tt0120828,5.9,84742.0,US
Sister Act 2: Back in the Habit,movie,"Comedy, Family, Music",1993.0,tt0108147,5.7,60318.0,JP
I Am Legend,movie,"Action, Drama, Horror",2007.0,tt0480249,7.2,835282.0,JP
27 Dresses,movie,"Comedy, Romance",2008.0,tt0988595,6.1,178383.0,US
The Man Without a Past,movie,"Comedy, Drama, Romance",2002.0,tt0311519,7.6,26978.0,JP
Equilibrium,movie,"Action, Drama, Sci-Fi",2002.0,tt0238380,7.3,351843.0,JP
Running Scared,movie,"Action, Crime, Drama",2006.0,tt0404390,7.3,104559.0,JP
Juno,movie,"Comedy, Drama",2007.0,tt0467406,7.4,557057.0,US
Speed Racer,movie,"Action, Adventure, Comedy",2008.0,tt0811080,6.1,79729.0,JP
Shooter,movie,"Action, Drama, Thriller",2007.0,tt0822854,7.1,362323.0,JP
Idiocracy,movie,"Adventure, Comedy, Sci-Fi",2006.0,tt0387808,6.5,193336.0,US
Ghost Train,movie,Horror,2006.0,tt0819839,4.9,927.0,JP
Rambo,movie,"Action, Adventure, Thriller",2008.0,tt0462499,7.0,248306.0,JP
"10,000 BC",movie,"Action, Adventure, Drama",2008.0,tt0443649,5.1,136689.0,JP
Before the Devil Knows You're Dead,movie,"Crime, Drama, Thriller",2007.0,tt0292963,7.3,114204.0,US
The Match Factory Girl,movie,"Comedy, Crime, Drama",1990.0,tt0098532,7.5,12322.0,JP
Robin Hood: Men in Tights,movie,"Adventure, Comedy, Musical",1993.0,tt0107977,6.7,139726.0,US
Behind Enemy Lines,movie,"Action, Drama, Thriller",2001.0,tt0159273,6.4,114845.0,US
Band of Outsiders,movie,"Comedy, Crime, Drama",1964.0,tt0057869,7.6,27598.0,JP
Alien³,movie,"Action, Horror, Sci-Fi",1992.0,tt0103644,6.4,334746.0,US
Alien Resurrection,movie,"Action, Horror, Sci-Fi",1997.0,tt0118583,6.2,276863.0,US
Napoleon Dynamite,movie,Comedy,2004.0,tt0374900,7.0,243457.0,US
Æon Flux,movie,"Action, Adventure, Sci-Fi",2005.0,tt0402022,5.4,134126.0,JP
Drifting Clouds,movie,"Comedy, Drama",1996.0,tt0116752,7.6,9534.0,JP
Kika,movie,Comedy,1993.0,tt0107315,6.5,15337.0,JP
REC,movie,"Horror, Mystery, Thriller",2007.0,tt1038988,7.4,203256.0,JP
Cast Away,movie,"Adventure, Drama, Romance",2000.0,tt0162222,7.8,653235.0,JP
Transformers: Revenge of the Fallen,movie,"Action, Adventure, Sci-Fi",2009.0,tt1055369,6.0,435544.0,JP
The Conformist,movie,Drama,1970.0,tt0065571,7.9,34763.0,JP
Swallowtail Butterfly,movie,"Crime, Drama",1996.0,tt0117797,7.5,4553.0,JP
The Happening,movie,"Adventure, Drama, Sci-Fi",2008.0,tt0949731,5.0,220492.0,US
Deep Impact,movie,"Action, Drama, Sci-Fi",1998.0,tt0120647,6.2,194442.0,JP
K-19: The Widowmaker,movie,"Drama, History, Thriller",2002.0,tt0267626,6.7,68717.0,"JP, US"
Cannibals in the Streets,movie,"Drama, Fantasy, Horror",1980.0,tt0080379,5.5,4474.0,JP
The League of Extraordinary Gentlemen,movie,"Action, Adventure, Fantasy",2003.0,tt0311429,5.8,186403.0,US
